stationID,startTime,endTime,inNums,outNums
0,2019-01-29 00:00:00,2019-01-29 00:10:00,6,2
0,2019-01-29 00:10:00,2019-01-29 00:20:00,0,1
0,2019-01-29 00:20:00,2019-01-29 00:30:00,0,0
0,2019-01-29 00:30:00,2019-01-29 00:40:00,0,0
0,2019-01-29 00:40:00,2019-01-29 00:50:00,0,0
0,2019-01-29 00:50:00,2019-01-29 01:00:00,0,0
0,2019-01-29 01:00:00,2019-01-29 01:10:00,0,0
0,2019-01-29 01:10:00,2019-01-29 01:20:00,1,0
0,2019-01-29 01:20:00,2019-01-29 01:30:00,1,0
0,2019-01-29 01:30:00,2019-01-29 01:40:00,1,0
0,2019-01-29 01:40:00,2019-01-29 01:50:00,1,0
0,2019-01-29 01:50:00,2019-01-29 02:00:00,1,0
0,2019-01-29 02:00:00,2019-01-29 02:10:00,1,0
0,2019-01-29 02:10:00,2019-01-29 02:20:00,1,0
0,2019-01-29 02:20:00,2019-01-29 02:30:00,1,0
0,2019-01-29 02:30:00,2019-01-29 02:40:00,1,0
0,2019-01-29 02:40:00,2019-01-29 02:50:00,1,0
0,2019-01-29 02:50:00,2019-01-29 03:00:00,1,0
0,2019-01-29 03:00:00,2019-01-29 03:10:00,1,0
0,2019-01-29 03:10:00,2019-01-29 03:20:00,1,0
0,2019-01-29 03:20:00,2019-01-29 03:30:00,1,0
0,2019-01-29 03:30:00,2019-01-29 03:40:00,1,0
0,2019-01-29 03:40:00,2019-01-29 03:50:00,1,0
0,2019-01-29 03:50:00,2019-01-29 04:00:00,1,0
0,2019-01-29 04:00:00,2019-01-29 04:10:00,1,0
0,2019-01-29 04:10:00,2019-01-29 04:20:00,1,0
0,2019-01-29 04:20:00,2019-01-29 04:30:00,1,0
0,2019-01-29 04:30:00,2019-01-29 04:40:00,1,1
0,2019-01-29 04:40:00,2019-01-29 04:50:00,1,1
0,2019-01-29 04:50:00,2019-01-29 05:00:00,1,0
0,2019-01-29 05:00:00,2019-01-29 05:10:00,1,0
0,2019-01-29 05:10:00,2019-01-29 05:20:00,1,0
0,2019-01-29 05:20:00,2019-01-29 05:30:00,1,0
0,2019-01-29 05:30:00,2019-01-29 05:40:00,15,0
0,2019-01-29 05:40:00,2019-01-29 05:50:00,16,1
0,2019-01-29 05:50:00,2019-01-29 06:00:00,40,2
0,2019-01-29 06:00:00,2019-01-29 06:10:00,45,3
0,2019-01-29 06:10:00,2019-01-29 06:20:00,51,3
0,2019-01-29 06:20:00,2019-01-29 06:30:00,79,4
0,2019-01-29 06:30:00,2019-01-29 06:40:00,129,20
0,2019-01-29 06:40:00,2019-01-29 06:50:00,144,34
0,2019-01-29 06:50:00,2019-01-29 07:00:00,189,26
0,2019-01-29 07:00:00,2019-01-29 07:10:00,216,31
0,2019-01-29 07:10:00,2019-01-29 07:20:00,250,29
0,2019-01-29 07:20:00,2019-01-29 07:30:00,313,39
0,2019-01-29 07:30:00,2019-01-29 07:40:00,362,55
0,2019-01-29 07:40:00,2019-01-29 07:50:00,393,72
0,2019-01-29 07:50:00,2019-01-29 08:00:00,426,85
0,2019-01-29 08:00:00,2019-01-29 08:10:00,452,102
0,2019-01-29 08:10:00,2019-01-29 08:20:00,457,142
0,2019-01-29 08:20:00,2019-01-29 08:30:00,464,257
0,2019-01-29 08:30:00,2019-01-29 08:40:00,451,366
0,2019-01-29 08:40:00,2019-01-29 08:50:00,395,367
0,2019-01-29 08:50:00,2019-01-29 09:00:00,335,219
0,2019-01-29 09:00:00,2019-01-29 09:10:00,297,151
0,2019-01-29 09:10:00,2019-01-29 09:20:00,258,120
0,2019-01-29 09:20:00,2019-01-29 09:30:00,216,100
0,2019-01-29 09:30:00,2019-01-29 09:40:00,188,115
0,2019-01-29 09:40:00,2019-01-29 09:50:00,182,134
0,2019-01-29 09:50:00,2019-01-29 10:00:00,180,129
0,2019-01-29 10:00:00,2019-01-29 10:10:00,170,112
0,2019-01-29 10:10:00,2019-01-29 10:20:00,175,123
0,2019-01-29 10:20:00,2019-01-29 10:30:00,160,128
0,2019-01-29 10:30:00,2019-01-29 10:40:00,145,128
0,2019-01-29 10:40:00,2019-01-29 10:50:00,137,149
0,2019-01-29 10:50:00,2019-01-29 11:00:00,129,136
0,2019-01-29 11:00:00,2019-01-29 11:10:00,135,127
0,2019-01-29 11:10:00,2019-01-29 11:20:00,121,135
0,2019-01-29 11:20:00,2019-01-29 11:30:00,134,143
0,2019-01-29 11:30:00,2019-01-29 11:40:00,121,140
0,2019-01-29 11:40:00,2019-01-29 11:50:00,120,147
0,2019-01-29 11:50:00,2019-01-29 12:00:00,134,151
0,2019-01-29 12:00:00,2019-01-29 12:10:00,154,121
0,2019-01-29 12:10:00,2019-01-29 12:20:00,135,151
0,2019-01-29 12:20:00,2019-01-29 12:30:00,143,150
0,2019-01-29 12:30:00,2019-01-29 12:40:00,143,150
0,2019-01-29 12:40:00,2019-01-29 12:50:00,139,171
0,2019-01-29 12:50:00,2019-01-29 13:00:00,86,92
0,2019-01-29 13:00:00,2019-01-29 13:10:00,51,79
0,2019-01-29 13:10:00,2019-01-29 13:20:00,30,57
0,2019-01-29 13:20:00,2019-01-29 13:30:00,16,43
0,2019-01-29 13:30:00,2019-01-29 13:40:00,7,32
0,2019-01-29 13:40:00,2019-01-29 13:50:00,3,24
0,2019-01-29 13:50:00,2019-01-29 14:00:00,0,18
0,2019-01-29 14:00:00,2019-01-29 14:10:00,0,13
0,2019-01-29 14:10:00,2019-01-29 14:20:00,0,10
0,2019-01-29 14:20:00,2019-01-29 14:30:00,0,7
0,2019-01-29 14:30:00,2019-01-29 14:40:00,0,5
0,2019-01-29 14:40:00,2019-01-29 14:50:00,0,4
0,2019-01-29 14:50:00,2019-01-29 15:00:00,0,3
0,2019-01-29 15:00:00,2019-01-29 15:10:00,0,2
0,2019-01-29 15:10:00,2019-01-29 15:20:00,0,2
0,2019-01-29 15:20:00,2019-01-29 15:30:00,0,1
0,2019-01-29 15:30:00,2019-01-29 15:40:00,0,1
0,2019-01-29 15:40:00,2019-01-29 15:50:00,0,1
0,2019-01-29 15:50:00,2019-01-29 16:00:00,0,1
0,2019-01-29 16:00:00,2019-01-29 16:10:00,0,0
0,2019-01-29 16:10:00,2019-01-29 16:20:00,0,0
0,2019-01-29 16:20:00,2019-01-29 16:30:00,1,0
0,2019-01-29 16:30:00,2019-01-29 16:40:00,1,0
0,2019-01-29 16:40:00,2019-01-29 16:50:00,1,0
0,2019-01-29 16:50:00,2019-01-29 17:00:00,1,0
0,2019-01-29 17:00:00,2019-01-29 17:10:00,1,0
0,2019-01-29 17:10:00,2019-01-29 17:20:00,1,0
0,2019-01-29 17:20:00,2019-01-29 17:30:00,1,0
0,2019-01-29 17:30:00,2019-01-29 17:40:00,1,0
0,2019-01-29 17:40:00,2019-01-29 17:50:00,1,0
0,2019-01-29 17:50:00,2019-01-29 18:00:00,1,0
0,2019-01-29 18:00:00,2019-01-29 18:10:00,1,0
0,2019-01-29 18:10:00,2019-01-29 18:20:00,1,0
0,2019-01-29 18:20:00,2019-01-29 18:30:00,1,0
0,2019-01-29 18:30:00,2019-01-29 18:40:00,1,0
0,2019-01-29 18:40:00,2019-01-29 18:50:00,1,0
0,2019-01-29 18:50:00,2019-01-29 19:00:00,1,0
0,2019-01-29 19:00:00,2019-01-29 19:10:00,1,0
0,2019-01-29 19:10:00,2019-01-29 19:20:00,1,0
0,2019-01-29 19:20:00,2019-01-29 19:30:00,1,0
0,2019-01-29 19:30:00,2019-01-29 19:40:00,1,0
0,2019-01-29 19:40:00,2019-01-29 19:50:00,1,0
0,2019-01-29 19:50:00,2019-01-29 20:00:00,1,0
0,2019-01-29 20:00:00,2019-01-29 20:10:00,1,0
0,2019-01-29 20:10:00,2019-01-29 20:20:00,1,0
0,2019-01-29 20:20:00,2019-01-29 20:30:00,1,0
0,2019-01-29 20:30:00,2019-01-29 20:40:00,1,0
0,2019-01-29 20:40:00,2019-01-29 20:50:00,1,0
0,2019-01-29 20:50:00,2019-01-29 21:00:00,1,0
0,2019-01-29 21:00:00,2019-01-29 21:10:00,1,0
0,2019-01-29 21:10:00,2019-01-29 21:20:00,1,0
0,2019-01-29 21:20:00,2019-01-29 21:30:00,1,0
0,2019-01-29 21:30:00,2019-01-29 21:40:00,1,0
0,2019-01-29 21:40:00,2019-01-29 21:50:00,1,0
0,2019-01-29 21:50:00,2019-01-29 22:00:00,1,0
0,2019-01-29 22:00:00,2019-01-29 22:10:00,1,0
0,2019-01-29 22:10:00,2019-01-29 22:20:00,1,0
0,2019-01-29 22:20:00,2019-01-29 22:30:00,1,0
0,2019-01-29 22:30:00,2019-01-29 22:40:00,1,0
0,2019-01-29 22:40:00,2019-01-29 22:50:00,1,0
0,2019-01-29 22:50:00,2019-01-29 23:00:00,1,0
0,2019-01-29 23:00:00,2019-01-29 23:10:00,1,0
0,2019-01-29 23:10:00,2019-01-29 23:20:00,1,0
0,2019-01-29 23:20:00,2019-01-29 23:30:00,1,0
0,2019-01-29 23:30:00,2019-01-29 23:40:00,1,0
0,2019-01-29 23:40:00,2019-01-29 23:50:00,1,0
0,2019-01-29 23:50:00,2019-01-30 00:00:00,1,0
1,2019-01-29 00:00:00,2019-01-29 00:10:00,2,1
1,2019-01-29 00:10:00,2019-01-29 00:20:00,1,6
1,2019-01-29 00:20:00,2019-01-29 00:30:00,0,4
1,2019-01-29 00:30:00,2019-01-29 00:40:00,0,2
1,2019-01-29 00:40:00,2019-01-29 00:50:00,0,1
1,2019-01-29 00:50:00,2019-01-29 01:00:00,0,0
1,2019-01-29 01:00:00,2019-01-29 01:10:00,0,0
1,2019-01-29 01:10:00,2019-01-29 01:20:00,0,0
1,2019-01-29 01:20:00,2019-01-29 01:30:00,0,0
1,2019-01-29 01:30:00,2019-01-29 01:40:00,0,0
