stationID,startTime,endTime,inNums,outNums
0,2019-01-29 00:00:00,2019-01-29 00:10:00,0,0
0,2019-01-29 00:10:00,2019-01-29 00:20:00,1,1
0,2019-01-29 00:20:00,2019-01-29 00:30:00,1,1
0,2019-01-29 00:30:00,2019-01-29 00:40:00,1,1
0,2019-01-29 00:40:00,2019-01-29 00:50:00,1,1
0,2019-01-29 00:50:00,2019-01-29 01:00:00,0,0
0,2019-01-29 01:00:00,2019-01-29 01:10:00,0,0
0,2019-01-29 01:10:00,2019-01-29 01:20:00,0,0
0,2019-01-29 01:20:00,2019-01-29 01:30:00,0,0
0,2019-01-29 01:30:00,2019-01-29 01:40:00,0,0
0,2019-01-29 01:40:00,2019-01-29 01:50:00,0,0
0,2019-01-29 01:50:00,2019-01-29 02:00:00,0,0
0,2019-01-29 02:00:00,2019-01-29 02:10:00,0,0
0,2019-01-29 02:10:00,2019-01-29 02:20:00,1,1
0,2019-01-29 02:20:00,2019-01-29 02:30:00,1,1
0,2019-01-29 02:30:00,2019-01-29 02:40:00,0,0
0,2019-01-29 02:40:00,2019-01-29 02:50:00,0,0
0,2019-01-29 02:50:00,2019-01-29 03:00:00,1,1
0,2019-01-29 03:00:00,2019-01-29 03:10:00,0,0
0,2019-01-29 03:10:00,2019-01-29 03:20:00,1,1
0,2019-01-29 03:20:00,2019-01-29 03:30:00,0,0
0,2019-01-29 03:30:00,2019-01-29 03:40:00,0,0
0,2019-01-29 03:40:00,2019-01-29 03:50:00,1,1
0,2019-01-29 03:50:00,2019-01-29 04:00:00,1,1
0,2019-01-29 04:00:00,2019-01-29 04:10:00,1,1
0,2019-01-29 04:10:00,2019-01-29 04:20:00,0,0
0,2019-01-29 04:20:00,2019-01-29 04:30:00,0,0
0,2019-01-29 04:30:00,2019-01-29 04:40:00,0,0
0,2019-01-29 04:40:00,2019-01-29 04:50:00,0,0
0,2019-01-29 04:50:00,2019-01-29 05:00:00,0,0
0,2019-01-29 05:00:00,2019-01-29 05:10:00,0,0
0,2019-01-29 05:10:00,2019-01-29 05:20:00,0,0
0,2019-01-29 05:20:00,2019-01-29 05:30:00,1,1
0,2019-01-29 05:30:00,2019-01-29 05:40:00,5,3
0,2019-01-29 05:40:00,2019-01-29 05:50:00,21,12
0,2019-01-29 05:50:00,2019-01-29 06:00:00,27,15
0,2019-01-29 06:00:00,2019-01-29 06:10:00,28,13
0,2019-01-29 06:10:00,2019-01-29 06:20:00,48,19
0,2019-01-29 06:20:00,2019-01-29 06:30:00,49,19
0,2019-01-29 06:30:00,2019-01-29 06:40:00,104,39
0,2019-01-29 06:40:00,2019-01-29 06:50:00,119,37
0,2019-01-29 06:50:00,2019-01-29 07:00:00,150,44
0,2019-01-29 07:00:00,2019-01-29 07:10:00,198,53
0,2019-01-29 07:10:00,2019-01-29 07:20:00,266,57
0,2019-01-29 07:20:00,2019-01-29 07:30:00,296,53
0,2019-01-29 07:30:00,2019-01-29 07:40:00,367,55
0,2019-01-29 07:40:00,2019-01-29 07:50:00,416,56
0,2019-01-29 07:50:00,2019-01-29 08:00:00,449,54
0,2019-01-29 08:00:00,2019-01-29 08:10:00,476,54
0,2019-01-29 08:10:00,2019-01-29 08:20:00,457,57
0,2019-01-29 08:20:00,2019-01-29 08:30:00,503,69
0,2019-01-29 08:30:00,2019-01-29 08:40:00,462,72
